round,strategy,train_mse,train_accuracy,train_f1_score,val_accuracy,val_mse,val_f1_score,val_precision,val_recall
0,FedProx,0.0,0.0,0.0,0.4436289035787554,3.2408881849324223,0.2726553944751386,0.19680660409048864,0.4436289035787554
1,FedProx,0.14935745130566674,0.8581842551561902,0.8380089326056281,0.839525871894233,0.18078997833977528,0.8122728718814308,0.7870370806223772,0.839525871894233
2,FedProx,0.0773112067552729,0.9132611193172493,0.9080155169516777,0.8722133576475952,0.10792842710049365,0.8489995186905341,0.8797867150915174,0.8722133576475952
3,FedProx,0.0727819631656626,0.925816510750041,0.9231218260460057,0.9142922270344199,0.0838852330356173,0.907761435336037,0.9177447732401333,0.9142922270344199
4,FedProx,0.06943221561438592,0.9311094698834728,0.9292444803685499,0.9317073170731708,0.07488055889370575,0.9287368805469135,0.9337472130083861,0.9317073170731708
5,FedProx,0.06821482742654572,0.9290716122326166,0.9274948154188397,0.936083884203328,0.06907014425644328,0.9343427757764207,0.9382374800413393,0.936083884203328
6,FedProx,0.06375370735089658,0.9299606105366814,0.9286651264756451,0.9396854342375199,0.06460847181370184,0.9384533038600178,0.9413434549024063,0.9396854342375199
7,FedProx,0.06356866035792934,0.9294135346572568,0.9285721023525841,0.9436972874401641,0.06095768613570217,0.9426527367569267,0.9453663764142166,0.9436972874401641
8,FedProx,0.062589393542364,0.9318480223206959,0.9310456323602084,0.9412354684294506,0.05983719940800431,0.9404322104067471,0.942164588075527,0.9412354684294506
9,FedProx,0.0630193383927306,0.92903058154166,0.9286462182495305,0.9376795076361979,0.05857687486634008,0.9371039658358897,0.9385215906629188,0.9376795076361979
10,FedProx,0.058182957389482585,0.9381257180370918,0.9375231588461442,0.9417369500797812,0.05712961507170892,0.9412888273522898,0.9424463157600366,0.9417369500797812
11,FedProx,0.0615334382829054,0.9326549592428469,0.9322544390289971,0.946979712787782,0.05683185742536046,0.9466123522876473,0.9474770674193788,0.946979712787782
12,FedProx,0.05771063139108096,0.940163575687948,0.9396528206115521,0.950581262821974,0.05555754206364165,0.9502806106022376,0.9510967876359954,0.950581262821974
13,FedProx,0.056292375469828015,0.9416953881503365,0.9413325789332204,0.9431502165488944,0.055688991326093513,0.94288873708784,0.9436142491248668,0.9431502165488944
14,FedProx,0.05847749264544368,0.9406285901854587,0.9404717604457355,0.9462046956918168,0.055219604647541505,0.9460192459594055,0.9465519465865667,0.9462046956918168
15,FedProx,0.059013160372911384,0.9355954920947535,0.9352572625691683,0.9433781627535901,0.05552819402687294,0.9431779120102101,0.9439406091753351,0.9433781627535901
16,FedProx,0.0632931591255333,0.9257618031620987,0.9248192512650208,0.9435605197173467,0.05496999813502984,0.9433474650028196,0.9442720164636129,0.9435605197173467
17,FedProx,0.05657214198534038,0.9402182832758905,0.9398091257886364,0.9496238887622521,0.05326926129908219,0.9494672071851458,0.9498180545064824,0.9496238887622521
18,FedProx,0.05469046761256616,0.9481782373215165,0.947960276291771,0.9508092090266697,0.05333050009357291,0.9506429138362157,0.9511457616503551,0.9508092090266697
19,FedProx,0.056742467696607346,0.9466327479621423,0.9463931966570925,0.9528151356279918,0.054593760890982224,0.9526541976077209,0.953070855254642,0.9528151356279918
20,FedProx,0.05737333250930814,0.9402182832758904,0.9400749062769844,0.9533166172783223,0.053232811534949985,0.953168202406237,0.9534742870381103,0.9533166172783223
21,FedProx,0.05435563340552891,0.9431177854368402,0.9426342304960789,0.9519033508092091,0.051568128243977766,0.9517790869438658,0.9520082098115019,0.9519033508092091
22,FedProx,0.05588617557180079,0.936210952459106,0.9358595656002423,0.9468429450649647,0.05252732288593114,0.9466880314182097,0.947086918754328,0.9468429450649647
23,FedProx,0.058224154746610926,0.934624432408775,0.934407046410116,0.95290631410987,0.051408957924402414,0.9527749187647462,0.9529483316673162,0.95290631410987
24,FedProx,0.06048415461066568,0.9330105585644729,0.9329507503319325,0.9401413266469113,0.0540389484039971,0.9399812262831361,0.9408247992951209,0.9401413266469113
25,FedProx,0.06263101559537568,0.9282646753104655,0.9276899719616375,0.9502165488944609,0.05166062265963151,0.950095683775178,0.9503027615212332,0.9502165488944609
