round,strategy,train_mse,train_accuracy,train_f1_score,val_accuracy,val_mse,val_f1_score,val_precision,val_recall
0,FedAvg,0.0,0.0,0.0,0.4436289035787554,3.2187235760709396,0.2726553944751386,0.19680660409048864,0.4436289035787554
1,FedAvg,0.06555775055121371,0.9558509765304448,0.9556797332284092,0.9424207886938682,0.08762358322338301,0.9425929365086937,0.9456714533680315,0.9424207886938682
2,FedAvg,0.058244129403872996,0.9584906176486678,0.9583417827064403,0.953863688169592,0.06590260125479638,0.9537777673655058,0.9557409213119066,0.953863688169592
3,FedAvg,0.05825679053746441,0.958135018327042,0.9579732556380225,0.9552769546387052,0.06131835975698381,0.9552099730299506,0.956751540250098,0.9552769546387052
4,FedAvg,0.057223273233375296,0.9585316483396248,0.9583934936531431,0.9576931844084796,0.06003922451527206,0.9576224602734118,0.958766610330675,0.9576931844084796
5,FedAvg,0.05623522487366847,0.9512692160402649,0.9509945756085423,0.9599726464554366,0.06765700708959017,0.9598843174537728,0.9600465404774988,0.9599726464554366
6,FedAvg,0.05838005804277703,0.9503255101482575,0.9501718159935899,0.9524048324595396,0.06277562479679637,0.9519215718058858,0.9531407164979522,0.9524048324595396
7,FedAvg,0.05902187232251516,0.9521445374473441,0.9518022371984587,0.9549578299521313,0.06688386957769306,0.9550366210703918,0.9552393556644364,0.9549578299521313
8,FedAvg,0.059774387567963445,0.9509546474095958,0.9506156294440804,0.9380442215637109,0.06776185448519381,0.9379860291265089,0.9419545733506055,0.9380442215637109
9,FedAvg,0.05813595742832627,0.9503528639422288,0.9499909976936588,0.9579211306131753,0.0630920546793583,0.957952801519793,0.9588289605917303,0.9579211306131753
10,FedAvg,0.059322978618508784,0.953129274030308,0.9526721707372796,0.9553225438796444,0.07069006633437987,0.9556970095081444,0.9568249203831687,0.9553225438796444
11,FedAvg,0.056028767767715267,0.9568493900103945,0.9565340331046164,0.9526327786642352,0.08227600534259154,0.9532334935787045,0.9551134439244159,0.9526327786642352
12,FedAvg,0.057024521565654386,0.9536900268067182,0.9532631088227492,0.9454296785958514,0.0743971125783284,0.9458122845345645,0.9473490987128514,0.9454296785958514
13,FedAvg,0.057416425670184436,0.9525138136659556,0.9522087062631344,0.9531798495555049,0.0700866484601088,0.9534842544206888,0.9542275552424749,0.9531798495555049
14,FedAvg,0.05853709473906134,0.9573417583018766,0.9569972933177987,0.9226806473672213,0.11552415251761529,0.9270206539986885,0.9384673638940946,0.9226806473672213
15,FedAvg,0.06108648832902829,0.9538541495705455,0.9536494053011401,0.9224527011625256,0.10706874323502633,0.9267654992244067,0.9379541420341292,0.9224527011625256
16,FedAvg,0.05999948756495155,0.9561108375731714,0.9558670617732826,0.9382265785274675,0.09360577686686233,0.9402219220651482,0.9456149737984253,0.9382265785274675
17,FedAvg,0.053539608438363626,0.9590376935280923,0.9588734704125756,0.9370868475039891,0.07978083343815934,0.9374898566434735,0.9404916867668762,0.9370868475039891
18,FedAvg,0.05293783427923237,0.9556594999726462,0.955388213678843,0.9183496694780032,0.1057263376380581,0.9232422485735596,0.9352241601297875,0.9183496694780032
19,FedAvg,0.05326130533499266,0.9548662399474808,0.9546213906653233,0.9417825393207203,0.08509445474659252,0.9423844243968166,0.9444085181836311,0.9417825393207203
20,FedAvg,0.05501062864236193,0.9573827889928332,0.9571783387294184,0.9562343286984272,0.0806713786445114,0.9564083155930487,0.9568547342506627,0.9562343286984272
21,FedAvg,0.06675492809107028,0.9482466218064446,0.9477039271880557,0.9129701390471848,0.11005265802079384,0.9193013029574614,0.934590387522099,0.9129701390471848
22,FedAvg,0.05476500173217826,0.9531703047212648,0.9529075472182548,0.9112377478914976,0.10925656499470461,0.9175573986644722,0.9329544887609171,0.9112377478914976
23,FedAvg,0.06183463491728939,0.947672192133049,0.9471921680612594,0.9517665830863916,0.08754832828824403,0.9520343692943899,0.952762184017692,0.9517665830863916
24,FedAvg,0.05973703733270531,0.9525138136659554,0.9521058766722816,0.9358559379986323,0.09160209540956166,0.9373720543188934,0.9414670726810428,0.9358559379986323
25,FedAvg,0.0675182694114787,0.9508042015427539,0.9504056273763862,0.9432413950307728,0.08314247128117142,0.9435983069056768,0.9442102507917656,0.9432413950307728
