fuel_consumption,speed,acc_long,acc_lat,acc_norm,throttle_position,engine_speed,delta_acc_lat,deterministic_score,fuzzy_score,jerk_score,deterministic_class,fuzzy_class,jerk_class,group_match_strength,group_match_id,cluster_id,cluster_score
5.73173566508832,0,-9.587,-0.422,9.59628329094134,17.6470588235294,0,0,0,0.4,0,Normal,Normal,Calmo,2,2,2,0.6189215481336
5.73173566508832,0,0,0,0,17.6470588235294,0,0.422,0,0.152950819672131,0,Normal,Calmo,Calmo,3,1,1,1.93288650900865
5.73173566508832,0,0,0,0,17.6470588235294,0,0,0,0.152950819672131,0,Normal,Calmo,Calmo,3,1,1,1.93288650900865
5.73173566508832,0,-9.024,-3.609,9.71892262547655,17.6470588235294,0,3.609,0,0.4,0,Normal,Normal,Calmo,2,2,2,0.646210069765345
5.73173566508832,0,0,0,0,17.6470588235294,0,3.609,0,0.152950819672131,0,Normal,Calmo,Calmo,3,1,1,1.93288650900865
5.73173566508832,0,0,0,0,17.6470588235294,0,0,0,0.152950819672131,0,Normal,Calmo,Calmo,3,1,1,1.93288650900865
5.73173566508832,0,0,0,0,17.6470588235294,0,0,0,0.152950819672131,0,Normal,Calmo,Calmo,3,1,1,1.93288650900865
5.73173566508832,0,0,0,0,17.6470588235294,0,0,0,0.152950819672131,0,Normal,Calmo,Calmo,3,1,1,1.93288650900865
5.73173566508832,0,0.65,-3.08,3.14784052963297,17.6470588235294,0,3.08,0,0.4,0,Normal,Normal,Calmo,2,2,1,1.81477773347529
5.73173566508832,0,0.58,-3.063,3.11742987090327,17.6470588235294,0,0.0169999999999999,0,0.4,0,Normal,Normal,Calmo,2,2,1,1.81247244216272
5.73173566508832,0,7.655,2.184,7.96045733610827,17.6470588235294,0,5.247,0,0.4,0,Normal,Normal,Calmo,2,2,2,0.553207216223367
5.73173566508832,0,-2.112,-7.141,7.44677279094777,17.6470588235294,0,9.325,0,0.4,0,Normal,Normal,Calmo,2,2,2,0.655015784015589
5.73173566508832,0,4.528,-2.637,5.23990009446745,17.6470588235294,0,4.504,0,0.4,0,Normal,Normal,Calmo,2,2,2,1.32585035176056
5.73173566508832,0,3.638,4.654,5.90717868360184,17.6470588235294,0,7.291,0,0.4,0,Normal,Normal,Calmo,2,2,2,1.10414451578173
4.71276043573928,0,3.957,-7.05,8.08457475690589,14.5098039215686,932,11.704,0,0.4,0,Normal,Normal,Calmo,2,2,2,1.32299441047252
4.45801662840202,0,1.309,-7.804,7.91302072536146,13.7254901960784,722,0.754,0,0.4,0,Normal,Normal,Calmo,2,2,2,1.32339362006261
4.45801662840202,0,-1.354,-5.513,5.67683758795335,13.7254901960784,699,2.291,0,0.4,0,Normal,Normal,Calmo,2,2,1,1.38394944591095
4.43635474002301,0,-2.512,-0.469,2.55540701259114,13.7254901960784,696,5.044,0,0.28596948904541,0,Normal,Calmo,Calmo,3,1,1,0.493277914451495
4.44729469599895,0,-2.512,-0.499,2.56108277882617,13.7254901960784,705,0.03,0,0.287263638471452,0,Normal,Calmo,Calmo,3,1,1,0.486793863023052
4.43635474002301,0,-2.525,-0.509,2.57579230529171,13.7254901960784,691,0.01,0,0.290648115277934,0,Normal,Calmo,Calmo,3,1,1,0.499062518750252
4.43635474002301,0,-2.504,-0.52,2.55742370365178,13.7254901960784,698,0.011,0,0.286428576412874,0,Normal,Calmo,Calmo,3,1,1,0.492251133088385
4.43635474002301,0,-2.537,-0.528,2.59136122530225,13.7254901960784,700,0.00800000000000001,0,0.294279068813656,0,Normal,Calmo,Calmo,3,1,1,0.495330462373446
4.43635474002301,0,-2.521,-0.532,2.57652188036508,13.7254901960784,700,0.004,0,0.290817138249468,0,Normal,Calmo,Calmo,3,1,1,0.493399257532377
4.53074526640647,0,-2.521,-0.524,2.57488193904109,13.7254901960784,699,0.00800000000000001,0,0.290437362126798,0,Normal,Calmo,Calmo,3,1,1,0.48477664170428
4.43635474002301,0,-2.525,-0.532,2.58043581590397,13.7254901960784,689,0.00800000000000001,0,0.291725774976337,0,Normal,Calmo,Calmo,3,1,1,0.50096966512311
4.54074442446544,0,-2.508,-0.533,2.56401111542052,13.7254901960784,694,0.001,0,0.287933888070702,0,Normal,Calmo,Calmo,3,1,1,0.486252032020758
4.54074442446544,0,-2.497,-0.522,2.55097883174283,13.7254901960784,704,0.011,0,0.284964308246366,0,Normal,Calmo,Calmo,3,1,1,0.478183092543714
4.43635474002301,0,-2.513,-0.532,2.5686948047598,13.7254901960784,704,0.01,0,0.289009540004823,0,Normal,Calmo,Calmo,3,1,1,0.489930860441881
4.54074442446544,0,-2.509,-0.525,2.56333883831225,13.7254901960784,704,0.00700000000000001,0,0.287779860489658,0,Normal,Calmo,Calmo,3,1,1,0.479751210075025
4.51366607587064,0,-2.513,-0.539,2.57015369190249,13.7254901960784,704,0.014,0,0.289345502839114,0,Normal,Calmo,Calmo,3,1,1,0.481916940883122
4.43635474002301,0,-2.503,-0.538,2.56016659614174,13.7254901960784,702,0.001,0,0.287054296125806,0,Normal,Calmo,Calmo,3,1,1,0.490085890759795
4.50642549603521,0,-2.497,-0.536,2.55388038091059,13.7254901960784,700,0.002,0,0.285622504892737,0,Normal,Calmo,Calmo,3,1,1,0.482845356098489
4.43851145112657,0,-2.514,-0.538,2.57092201359746,13.7254901960784,706,0.002,0,0.289522612859309,0,Normal,Calmo,Calmo,3,1,1,0.488683183715022
4.45992211270311,0,4.741,0.038,4.74115228610092,13.3333333333333,698,0.576,0,0.4,0,Normal,Normal,Calmo,2,2,1,1.09721464999109
