dataset,mse,accuracy,precision,recall,f1_score
treino,0.06545150688457449,0.9515054414724214,0.9524733112174025,0.9515054414724214,0.9513612289934706
validacao,0.06588070869643334,0.9517665830863916,0.9526219382618318,0.9517665830863916,0.9516174167567975
