train_mse,train_accuracy,train_f1_score,train_precision,train_recall,val_mse,val_accuracy,val_f1_score,val_precision,val_recall
2.7653929783314646,0.4436216564740822,0.2726478550806387,0.1968001740928086,0.4436216564740822,2.7651851080270484,0.4436289035787554,0.2726553944751386,0.19680660409048864,0.4436289035787554
0.09030901657646444,0.9182118364236729,0.917242280349075,0.9189918343547145,0.9182118364236729,0.09105819780384056,0.9167996352860724,0.9158639546567813,0.9176896882528819,0.9167996352860724
0.08585178832114052,0.9200875324827573,0.9193881189302076,0.9210800551912167,0.9200875324827573,0.08666722513190397,0.9184864372008206,0.9177905871177237,0.9198801850822668,0.9184864372008206
0.08463068280780951,0.924972157636623,0.9243546712142475,0.925566107260356,0.924972157636623,0.0854319487863156,0.9231365397766127,0.9224871652782471,0.9240023626349824,0.9231365397766127
0.0836345439700046,0.9279420097301733,0.9273450528231177,0.9283184984883864,0.9279420097301733,0.08437146498649539,0.9267836790517437,0.9261594625139212,0.9274371623019836,0.9267836790517437
0.07496646878575412,0.9360895644868212,0.9352507124817735,0.9370254132433641,0.9360895644868212,0.07577002238972672,0.9343514930476408,0.9334486827522622,0.935335821952814,0.9343514930476408
0.07105045187151822,0.9395674175963736,0.9390554927782117,0.9403290966461697,0.9395674175963736,0.07167941104968505,0.9382721677684066,0.9376911562069714,0.939087259350525,0.9382721677684066
0.06949437588453335,0.9403489576209921,0.939900424064653,0.9410778971001447,0.9403489576209921,0.0701168173791296,0.939047184864372,0.9385488390963274,0.9398335675344586,0.939047184864372
0.06859660878418934,0.9409351126394561,0.9405184542076979,0.9420106475986672,0.9409351126394561,0.06917164143280634,0.940688397538181,0.9402583867652821,0.9417481689338792,0.940688397538181
0.0681182370076163,0.9420683456751529,0.941765620061122,0.9430119145335835,0.9420683456751529,0.06864524605756438,0.9417369500797812,0.9414292674448881,0.9425708675677873,0.9417369500797812
0.0676174323984044,0.9431820402102342,0.9428767787326567,0.9440350238270195,0.9431820402102342,0.068167715887965,0.942694324139503,0.9423724870427254,0.9434990927630705,0.942694324139503
0.06726672506908207,0.9437877337293136,0.9434821961491657,0.9448834625461102,0.9437877337293136,0.0677916533997978,0.9442443583314338,0.9439256672303066,0.9452965774865646,0.9442443583314338
0.06702573858085058,0.9447841972607022,0.9444710244513664,0.9456299181929878,0.9447841972607022,0.06758324181315471,0.944289947572373,0.943976054394196,0.9451061636717348,0.944289947572373
0.06677443844367191,0.9454094292803971,0.9451672759523764,0.9464051904269986,0.9454094292803971,0.06728335059615999,0.9451105539092775,0.9448503036322211,0.9460219425201886,0.9451105539092775
0.06719437885845418,0.9466794318204022,0.9463082312163513,0.9476068516793985,0.9466794318204022,0.06775388220579998,0.9458399817643036,0.9454341578686964,0.9467473483701705,0.9458399817643036
0.06645139623300234,0.9473046638400969,0.947095266083688,0.9481105483036018,0.9473046638400969,0.06695750273438159,0.9469341235468429,0.9467251993417288,0.9476347733761962,0.9469341235468429
0.06628948924531818,0.9471874328364042,0.946985898782603,0.9484170504104179,0.9471874328364042,0.06674307472278165,0.9478914976065649,0.9476949217761018,0.9489548415265342,0.9478914976065649
0.06622955218526747,0.9484183583751783,0.9481918830344455,0.9491717649017841,0.9484183583751783,0.06675794386275177,0.9479826760884431,0.947749206990278,0.9486570455038712,0.9479826760884431
0.06633500598031022,0.9491412828979504,0.9488685063145443,0.9500776080608541,0.9491412828979504,0.0668423794919459,0.9492135855937999,0.9489484548699371,0.9501089887256161,0.9492135855937999
0.06604825651024991,0.949121744397335,0.9489677989093469,0.949907974546783,0.949121744397335,0.0665206888033277,0.949259174834739,0.949092827579414,0.9499124175077358,0.949259174834739
0.06589973554054332,0.9502940544342627,0.9500781640470061,0.9511614411314465,0.9502940544342627,0.06638714165696344,0.9501709596535217,0.9499611885934799,0.9509316871250858,0.9501709596535217
0.0657037891365156,0.9498642074207225,0.9496958096817426,0.9509152455195373,0.9498642074207225,0.06615442366831871,0.9499886026897653,0.9498090292793356,0.9509260827559419,0.9499886026897653
0.06591984961238843,0.9494538989077979,0.9493249342819583,0.950556381926609,0.9494538989077979,0.06633725925819998,0.9497606564850696,0.9496221402633751,0.9507224751364923,0.9497606564850696
0.06581442976593602,0.9499032844219535,0.9497786868239991,0.9510247236046995,0.9499032844219535,0.06622114549348362,0.9503989058582175,0.9502638946153824,0.9513750615652788,0.9503989058582175
0.06556993592812833,0.9504112854379555,0.950256814913606,0.951518808915958,0.9504112854379555,0.0659912893772953,0.9507636197857305,0.950602381058589,0.9517303704182447,0.9507636197857305
0.06545150688457449,0.9515054414724214,0.9513612289934706,0.9524733112174025,0.9515054414724214,0.06588070869643334,0.9517665830863916,0.9516174167567975,0.9526219382618318,0.9517665830863916
